2024-09-04T19:27:45.654+0200 INFO  b.p.s.c.WishlistControllerTests - Starting WishlistControllerTests using Java 17.0.4.1 with PID 24532 (started by Symon in C:\Users\Symon\Documents\College 2023-24\Fullstack Java\GitHub\2de-zit-symonxdd\backend-java\wishlist-service)
2024-09-04T19:27:45.655+0200 DEBUG b.p.s.c.WishlistControllerTests - Running with Spring Boot v3.1.4, Spring v6.0.12
2024-09-04T19:27:45.656+0200 INFO  b.p.s.c.WishlistControllerTests - No active profile set, falling back to 1 default profile: "default"
2024-09-04T19:27:48.145+0200 INFO  b.p.s.c.WishlistControllerTests - Started WishlistControllerTests in 3.803 seconds (process running for 4.926)
2024-09-04T19:27:48.244+0200 INFO  b.p.s.controller.WishlistController - Updating wishlist item quantity with product ID 1 from wishlist for role: user
2024-09-04T19:27:48.307+0200 INFO  b.p.s.controller.WishlistController - Deleting product with ID 1 from wishlist for role: user
2024-09-04T19:27:48.327+0200 INFO  b.p.s.controller.WishlistController - Fetching all wishlist items for role: user
2024-09-04T19:27:48.414+0200 INFO  b.p.s.controller.WishlistController - Adding product with ID 1 to wishlist for role: user
2024-09-04T19:27:48.421+0200 INFO  b.p.s.controller.WishlistController - Updating wishlist item quantity with product ID 1 from wishlist for role: admin
2024-09-04T19:27:48.427+0200 INFO  b.p.s.controller.WishlistController - Deleting product with ID 1 from wishlist for role: user
2024-09-04T21:07:25.351+0200 INFO  b.p.s.services.WishlistServiceTests - Starting WishlistServiceTests using Java 17.0.4.1 with PID 24476 (started by Symon in C:\Users\Symon\Documents\College 2023-24\Fullstack Java\GitHub\2de-zit-symonxdd\backend-java\wishlist-service)
2024-09-04T21:07:25.354+0200 DEBUG b.p.s.services.WishlistServiceTests - Running with Spring Boot v3.1.4, Spring v6.0.12
2024-09-04T21:07:25.355+0200 INFO  b.p.s.services.WishlistServiceTests - No active profile set, falling back to 1 default profile: "default"
2024-09-04T21:07:31.998+0200 INFO  b.p.s.services.WishlistServiceTests - Started WishlistServiceTests in 7.927 seconds (process running for 62.964)
